Year,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
France: current euros,9.43,9.22,9.0,8.86,8.71,8.44,8.27,8.03,7.61,7.19,6.83,6.67,6.405908,6.207724,6.131499,6.011065,5.779342,5.637565,5.421087,5.309799,5.192414,4.978985,4.869222,4.55975,4.384434,4.244181,4.103928,3.969772,3.713658,3.472789,3.093191,2.76695,2.254721,1.971166,1.724198,1.533637,1.362894,1.202823,1.029031,0.827798,0.693643,0.600649,0.55339,0.498508,0.469543,0.338437,0.320143,0.306423,0.294227,0.286604,0.275933,0.257639,0.250016,0.244147,0.22753,0.212209,0.192086,0.192086,0.185226,0.152449,0.152449,0.152449,0.11891,0.11891
USA: Current dollars,7.25,7.25,7.25,7.25,6.55,5.85,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,4.75,4.25,4.25,4.25,4.25,4.25,3.8,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.1,2.9,2.65,2.3,2.3,2.1,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.25,1.25,1.25,1.25,1.15,1.15,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.4
