Year,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Winning times for the men?s 400 m final in each Olympic Games,54.20,49.40,49.20,50.00,48.20,49.60,47.60,47.80,46.20,46.50,46.20,45.90,46.70,44.90,45.10,43.80,44.70,44.30,44.60,44.30,43.90,43.50,43.50,43.85,44.00, 43.75,43.94, 43.03
nb total de médailles gagnées par la Grande Bretagne (Great Britain),7,30,2,147,41,43,34,20,16,14,23,11,24,20,18,13,18,13,21,37,24,20,15,28,30,47,65,67
