Date,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
Value in million US dollars des impots (Belgique et Luxembourg),430,429,460,513,537,586,645,708,626,696,785,846,900,895,,,,,,,,760,719,688,821,850,754,808,889,988,861,660,449,534,638,618,716,932,767,,,,,,,,,,1984,,1936,2528,2444,2405,2535,2830,3273,3432,3129,3442,3957
population totale de la Belgique en dizaines de milliers,672,680,690,700,709,718,726,734,741,748,750,752,759,767,772,776,776,773,766,763,755,750,757,764,771,778,784,790,797,803,808,813,819,823,826,829,832,835,837,839,835,828,825,824,829,834,837,845,856,861,864,868,873,878,882,887,892,899,905,910,912
