Taux de chômage selon le sexe et l'âge au premier trimestre 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexe et âge,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
F 25-49 ans,3.68,4.1,4.43,4.45,4.75,5.13,5.95,6.3,6.4,7.15,7.8,8.3,9.1,9.25,9.1,8.73,8.78,9.6,10.15,10.83,10.43,10.8,10.88,10.75,10.48,9.28,8.53,8.1,8.65,8.85,8.83,8.45,7.6,7.03,8.2,8.35,8.58,8.93,9.18,9.23,9.15,9.05,8.78
HF tout age,3.3,3.63,4.1,4.28,4.78,5.1,6.03,6.58,6.88,8.05,8.53,8.6,8.73,8.4,7.85,7.63,7.8,8.65,9.65,10.25,9.68,10.13,10.3,9.88,9.58,8.18,7.4,7.53,8.13,8.5,8.5,8.45,7.65,7.08,8.73,8.88,8.83,9.4,9.93,9.93,10.03,9.75,9.1
