Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Number of video game copies sold in the world in tens of million units,1.138,3.577,2.886,1.679,5.036,5.394,3.707,2.174,4.722,7.345,4.939,3.223,7.616,4.598,7.917,8.811,19.915,20.098,25.647,25.127,20.156,33.147,39.552,35.785,41.931,45.994,52.104,61.113,67.89,66.73,60.045,51.599,36.354,36.811,33.705,26.444
Number of PC video game copies sold in the world in tens of million units,0,0,0,0,0,0.003,0,0,0.003,0,0,0,1.269,0,2.86,0.548,1.223,2.18,1.964,2.138,1.809,5.639,5.806,5.503,4.902,6.833,7.751,5.834,4.021,4.006,1.985,3.144,2.19,3.238,2.891,6.026
