April North America + Greenland Snow Cover Extent (1967-2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Extent – Etendu million square km en avril,14.30,12.16,13.12,14.41,13.61,13.65,13.39,14.19,15.08,11.99,13.03,13.64,14.79,13.27,12.93,14.82,13.62,12.45,13.97,13.03,11.88,12.46,13.47,12.68,12.40,12.78,12.29,12.96,14.41,13.87,14.63,12.23,12.70,12.58,13.09,13.62,13.44,12.52,12.22,12.23,12.94,14.26,13.73,11.02,14.11,12.27,14.81,13.79,12.62,12.43,13.58
Extent – Etendu million square km en octobre,8.08,7.43,,8.68,9.14,9.19,7.78,9.45,8.46,8.51,7.48,7.87,6.36,6.46,8.17,7.41,8.07,7.97,7.97,8.73,6.39,7.20,7.63,7.67,8.35,8.37,7.81,6.93,7.85,9.11,8.45,7.66,7.79,8.26,8.02,9.76,7.78,8.74,7.34,8.57,7.87,7.93,9.46,8.16,7.87,8.78,8.16,8.74,8.73,9.47,9.12
