Year,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
temperature moyenne,9.03,8.44,8.37,8.64,8.3,8.22,7.87,8.07,7.88,8.09,8.02,8.45,8.55,8.03,8.3,8.35,8.55,8.38,8.84,8.73,8.2,8.44,8.09,8.6,8.42,8.48,8.54,8.31,8.52,8.53,8.24,8.46,8.22,8.04,8.1,8.07,7.92,7.73,8.15,8.14,8.4,8.31,8.72,8.86,8.92,8.36,8.45,8.19,8.37,8.07,8.61,8.82,8.56,8.13,8.04,8.24,8.54,8.51,8.27,8.56,8.1,8.63,8.23,8.08,8.29,8.06,8.06,8.45,8.38,8.2,7.66,8.07,7.92,7.87,7.96,7.86,8.49,8.54,8.39,8.42,8.47,8.45,8.63,7.91,8.54,8.32,8.82,8.13,8.42,8.34,8.16,8.21,8.43,8.45,8.26,8.31,8.71,8.9,8.45,8,8.24,8.09,8.5,8.73,8.32,8.6,7.89,8.66,8.48,8.11,8.43,8.56,8.6,8.47,8.86
rainfall,703.54,710.57,557.27,769.24,688.76,613.04,594.02,507.91,479.81,568.29,591.69,579.91,667.71,826.23,719.17,584.06,561.4,709.2,706.67,693.18,679.9,669.52,581.12,586.57,621.83,677.38,671.57,608.66,662.43,693.2,579.99,730.23,684.19,627.06,698.81,623.32,693.34,700.84,670.21,739.84,716.6,637.47,580.91,677.89,740.74,645.25,668.01,658.41,683.38,727.25,673.25,522.79,794.69,633.83,671.88,555.75,613.09,621.97,597.33,559.07,638.42,490.03,670.52,515.74,721.98,638.01,613.51,572.09,625.58,618.13,651.52,746.77,641.42,606.48,686.28,652.08,757.69,661.23,701.03,776.15,686.28,740.39,589.34,655.9,648.2,704.4,690.23,518.57,595.52,647.42,658.69,697.38,668.11,650.9,597.78,543.79,751.79,502.25,552.34,660.48,631.76,783.39,576.94,575.5,671,721.88,474.86,640.19,614.3,552.74,584.9,585.35,554.53,556.77,601
